County,ledgerstyle,cost, mi ,per-income
Kean University,1996,3366," $40,927 ",0.08
Kean University,1997,3668," $40,927 ",0.09
Kean University,1998,3954," $40,927 ",0.1
Kean University,1999,4383," $40,927 ",0.11
Kean University,2000,4613," $40,927 ",0.11
Kean University,2001,5121," $40,927 ",0.13
Kean University,2002,5841," $55,146 ",0.11
Kean University,2003,6723," $55,146 ",0.12
Kean University,2004,7141," $55,146 ",0.13
Kean University,2005,7507," $74,764 ",0.1
Kean University,2006,8036," $75,701 ",0.11
Kean University,2007,8505," $76,542 ",0.11
Kean University,2008,9179," $77,387 ",0.12
Kean University,2009,9446," $75,410 ",0.13
Kean University,2010,9815," $73,492 ",0.13
Kean University,2011,10200," $71,011 ",0.14
Kean University,2012,10601," $71,836 ",0.15
Kean University,2013,10918," $71,313 ",0.15
Kean University,2014,11244," $71,919 ",0.16
Kean University,2015,11581," $72,222 ",0.16
Kean University,2016,11870," $76,126 ",0.16
Kean University,2017,12017," $80,088 ",0.15
Kean University,2018,12348," $80,088 ",0.15
Kean University,2019,12500," $80,088 ",0.16
Kean University,2020,13001," $81,690 ",0.16
Kean University,2021,13523," $83,324 ",0.16
Kean University,2022,14066," $84,990 ",0.17
Kean University,2023,14631," $86,690 ",0.17
Kean University,2024,15219," $88,424 ",0.17
Kean University,2025,15830," $90,192 ",0.18
Kean University,2026,16466," $91,996 ",0.18
Kean University,2027,17127," $93,836 ",0.18
Kean University,2028,17814," $95,713 ",0.19
Kean University,2029,18530," $97,627 ",0.19
Kean University,2030,19274," $99,579 ",0.19
Kean University,2031,20048," $101,571 ",0.2
Kean University,2032,20853," $103,602 ",0.2
Kean University,2033,21690," $105,674 ",0.21
Kean University,2034,22561," $107,788 ",0.21
Kean University,2035,23467," $109,944 ",0.21
Kean University,2036,24409," $112,143 ",0.22
Kean University,2037,25389," $114,385 ",0.22
Montclair State University,1991,2603, na ,na
Montclair State University,1992,2686, na ,na
Montclair State University,1993,2833, na ,na
Montclair State University,1994,2985," $40,927 ",0.07
Montclair State University,1995,3146," $40,927 ",0.08
Montclair State University,1996,3466," $40,927 ",0.08
Montclair State University,1997,3713," $40,927 ",0.09
Montclair State University,1998,4063," $40,927 ",0.1
Montclair State University,1999,4261," $40,927 ",0.1
Montclair State University,2000,4561," $40,927 ",0.11
Montclair State University,2001,5103," $40,927 ",0.12
Montclair State University,2002,5790," $55,146 ",0.1
Montclair State University,2003,6513," $55,146 ",0.12
Montclair State University,2004,7026," $55,146 ",0.13
Montclair State University,2005,7709," $74,764 ",0.1
Montclair State University,2006,8404," $75,701 ",0.11
Montclair State University,2007,8895," $76,542 ",0.12
Montclair State University,2008,9428," $77,387 ",0.12
Montclair State University,2009,9674," $75,410 ",0.13
Montclair State University,2010,10016," $73,492 ",0.14
Montclair State University,2011,10646," $71,011 ",0.15
Montclair State University,2012,11058," $71,836 ",0.15
Montclair State University,2013,11318," $71,313 ",0.16
Montclair State University,2014,11540," $71,919 ",0.16
Montclair State University,2015,11772," $72,222 ",0.16
Montclair State University,2016,12116," $76,126 ",0.16
Montclair State University,2017,12455," $80,088 ",0.16
Montclair State University,2018,12790," $80,088 ",0.16
Montclair State University,2019,12966," $80,088 ",0.16
Montclair State University,2020,13497," $81,690 ",0.17
Montclair State University,2021,14051," $83,324 ",0.17
Montclair State University,2022,14627," $84,990 ",0.17
Montclair State University,2023,15226," $86,690 ",0.18
Montclair State University,2024,15851," $88,424 ",0.18
Montclair State University,2025,16500," $90,192 ",0.18
Montclair State University,2026,17177," $91,996 ",0.19
Montclair State University,2027,17881," $93,836 ",0.19
Montclair State University,2028,18614," $95,713 ",0.19
Montclair State University,2029,19377," $97,627 ",0.2
Montclair State University,2030,20172," $99,579 ",0.2
Montclair State University,2031,20999," $101,571 ",0.21
Montclair State University,2032,21860," $103,602 ",0.21
Montclair State University,2033,22756," $105,674 ",0.22
Montclair State University,2034,23689," $107,788 ",0.22
Montclair State University,2035,24660," $109,944 ",0.22
Montclair State University,2036,25671," $112,143 ",0.23
Montclair State University,2037,26723," $114,385 ",0.23
New Jersey City University,1991,2422, na ,na
New Jersey City University,1992,2678, na ,na
New Jersey City University,1993,2798, na ,na
New Jersey City University,1994,3031," $40,927 ",0.07
New Jersey City University,1995,3158," $40,927 ",0.08
New Jersey City University,1996,3528," $40,927 ",0.09
New Jersey City University,1997,3828," $40,927 ",0.09
New Jersey City University,1998,4113," $40,927 ",0.1
New Jersey City University,1999,4358," $40,927 ",0.11
New Jersey City University,2000,4620," $40,927 ",0.11
New Jersey City University,2001,5063," $40,927 ",0.12
New Jersey City University,2002,5556," $55,146 ",0.1
New Jersey City University,2003,6051," $55,146 ",0.11
New Jersey City University,2004,6550," $55,146 ",0.12
New Jersey City University,2005,6389," $74,764 ",0.09
New Jersey City University,2006,7537," $75,701 ",0.1
New Jersey City University,2007,8154," $76,542 ",0.11
New Jersey City University,2008,8727," $77,387 ",0.11
New Jersey City University,2009,8988," $75,410 ",0.12
New Jersey City University,2010,9348," $73,492 ",0.13
New Jersey City University,2011,10021," $71,011 ",0.14
New Jersey City University,2012,10422," $71,836 ",0.15
New Jersey City University,2013,10653," $71,313 ",0.15
New Jersey City University,2014,10853," $71,919 ",0.15
New Jersey City University,2015,11179," $72,222 ",0.15
New Jersey City University,2016,11430," $76,126 ",0.15
New Jersey City University,2017,11762," $80,088 ",0.15
New Jersey City University,2018,12052," $80,088 ",0.15
New Jersey City University,2019,12386," $80,088 ",0.15
New Jersey City University,2020,13042," $81,690 ",0.16
New Jersey City University,2021,13734," $83,324 ",0.16
New Jersey City University,2022,14462," $84,990 ",0.17
New Jersey City University,2023,15229," $86,690 ",0.18
New Jersey City University,2024,16036," $88,424 ",0.18
New Jersey City University,2025,16887," $90,192 ",0.19
New Jersey City University,2026,17782," $91,996 ",0.19
New Jersey City University,2027,18725," $93,836 ",0.2
New Jersey City University,2028,19718," $95,713 ",0.21
New Jersey City University,2029,20763," $97,627 ",0.21
New Jersey City University,2030,21864," $99,579 ",0.22
New Jersey City University,2031,23023," $101,571 ",0.23
New Jersey City University,2032,24244," $103,602 ",0.23
New Jersey City University,2033,25530," $105,674 ",0.24
New Jersey City University,2034,26883," $107,788 ",0.25
New Jersey City University,2035,28309," $109,944 ",0.26
New Jersey City University,2036,29810," $112,143 ",0.27
New Jersey City University,2037,31390," $114,385 ",0.27
Stockton University,1991,2426, na ,na
Stockton University,1992,2657, na ,na
Stockton University,1993,2836, na ,na
Stockton University,1994,2948," $40,927 ",0.07
Stockton University,1995,3104," $40,927 ",0.08
Stockton University,1996,3472," $40,927 ",0.08
Stockton University,1997,3716," $40,927 ",0.09
Stockton University,1998,4079," $40,927 ",0.1
Stockton University,1999,4330," $40,927 ",0.11
Stockton University,2000,4710," $40,927 ",0.12
Stockton University,2001,5136," $40,927 ",0.13
Stockton University,2002,5600," $55,146 ",0.1
Stockton University,2003,6224," $55,146 ",0.11
Stockton University,2004,7203," $55,146 ",0.13
Stockton University,2005,8394," $74,764 ",0.11
Stockton University,2006,9058," $75,701 ",0.12
Stockton University,2007,9697," $76,542 ",0.13
Stockton University,2008,10469," $77,387 ",0.14
Stockton University,2009,11040," $75,410 ",0.15
Stockton University,2010,11533," $73,492 ",0.16
Stockton University,2011,11963," $71,011 ",0.17
Stockton University,2012,12322," $71,836 ",0.17
Stockton University,2013,12322," $71,313 ",0.17
Stockton University,2014,12569," $71,919 ",0.17
Stockton University,2015,12820," $72,222 ",0.18
Stockton University,2016,13076," $76,126 ",0.17
Stockton University,2017,13403," $80,088 ",0.17
Stockton University,2018,13738," $80,088 ",0.17
Stockton University,2019,13940," $80,088 ",0.17
Stockton University,2020,14498," $81,690 ",0.18
Stockton University,2021,15079," $83,324 ",0.18
Stockton University,2022,15683," $84,990 ",0.18
Stockton University,2023,16312," $86,690 ",0.19
Stockton University,2024,16965," $88,424 ",0.19
Stockton University,2025,17645," $90,192 ",0.2
Stockton University,2026,18352," $91,996 ",0.2
Stockton University,2027,19087," $93,836 ",0.2
Stockton University,2028,19852," $95,713 ",0.21
Stockton University,2029,20647," $97,627 ",0.21
Stockton University,2030,21474," $99,579 ",0.22
Stockton University,2031,22334," $101,571 ",0.22
Stockton University,2032,23229," $103,602 ",0.22
Stockton University,2033,24160," $105,674 ",0.23
Stockton University,2034,25128," $107,788 ",0.23
Stockton University,2035,26134," $109,944 ",0.24
Stockton University,2036,27181," $112,143 ",0.24
Stockton University,2037,28270," $114,385 ",0.25
Ramapo College of New Jersey,1991,2893, na ,na
Ramapo College of New Jersey,1992,3025, na ,na
Ramapo College of New Jersey,1993,3226, na ,na
Ramapo College of New Jersey,1994,3353," $40,927 ",0.08
Ramapo College of New Jersey,1995,3521," $40,927 ",0.09
Ramapo College of New Jersey,1996,3751," $40,927 ",0.09
Ramapo College of New Jersey,1997,4206," $40,927 ",0.1
Ramapo College of New Jersey,1998,4617," $40,927 ",0.11
Ramapo College of New Jersey,1999,4980," $40,927 ",0.12
Ramapo College of New Jersey,2000,5559," $40,927 ",0.14
Ramapo College of New Jersey,2001,6178," $40,927 ",0.15
Ramapo College of New Jersey,2002,6775," $55,146 ",0.12
Ramapo College of New Jersey,2003,7411," $55,146 ",0.13
Ramapo College of New Jersey,2004,8081," $55,146 ",0.15
Ramapo College of New Jersey,2005,8792," $74,764 ",0.12
Ramapo College of New Jersey,2006,9496," $75,701 ",0.13
Ramapo College of New Jersey,2007,9965," $76,542 ",0.13
Ramapo College of New Jersey,2008,10765," $77,387 ",0.14
Ramapo College of New Jersey,2009,11416," $75,410 ",0.15
Ramapo College of New Jersey,2010,11874," $73,492 ",0.16
Ramapo College of New Jersey,2011,12758," $71,011 ",0.18
Ramapo College of New Jersey,2012,13144," $71,836 ",0.18
Ramapo College of New Jersey,2013,13387," $71,313 ",0.19
Ramapo College of New Jersey,2014,13387," $71,919 ",0.19
Ramapo College of New Jersey,2015,13698," $72,222 ",0.19
Ramapo College of New Jersey,2016,13870," $76,126 ",0.18
Ramapo College of New Jersey,2017,14080," $80,088 ",0.18
Ramapo College of New Jersey,2018,14374," $80,088 ",0.18
Ramapo College of New Jersey,2019,14648," $80,088 ",0.18
Ramapo College of New Jersey,2020,15240," $81,690 ",0.19
Ramapo College of New Jersey,2021,15855," $83,324 ",0.19
Ramapo College of New Jersey,2022,16495," $84,990 ",0.19
Ramapo College of New Jersey,2023,17161," $86,690 ",0.2
Ramapo College of New Jersey,2024,17854," $88,424 ",0.2
Ramapo College of New Jersey,2025,18575," $90,192 ",0.21
Ramapo College of New Jersey,2026,19325," $91,996 ",0.21
Ramapo College of New Jersey,2027,20105," $93,836 ",0.21
Ramapo College of New Jersey,2028,20916," $95,713 ",0.22
Ramapo College of New Jersey,2029,21761," $97,627 ",0.22
Ramapo College of New Jersey,2030,22639," $99,579 ",0.23
Ramapo College of New Jersey,2031,23553," $101,571 ",0.23
Ramapo College of New Jersey,2032,24504," $103,602 ",0.24
Ramapo College of New Jersey,2033,25493," $105,674 ",0.24
Ramapo College of New Jersey,2034,26523," $107,788 ",0.25
Ramapo College of New Jersey,2035,27593," $109,944 ",0.25
Ramapo College of New Jersey,2036,28707," $112,143 ",0.26
Ramapo College of New Jersey,2037,29866," $114,385 ",0.26
Rowan University,1991,2676, na ,na
Rowan University,1992,2870, na ,na
Rowan University,1993,2843, na ,na
Rowan University,1994,3095," $40,927 ",0.08
Rowan University,1995,3393," $40,927 ",0.08
Rowan University,1996,3750," $40,927 ",0.09
Rowan University,1997,4241," $40,927 ",0.1
Rowan University,1998,4550," $40,927 ",0.11
Rowan University,1999,4920," $40,927 ",0.12
Rowan University,2000,5347," $40,927 ",0.13
Rowan University,2001,5779," $40,927 ",0.14
Rowan University,2002,6658," $55,146 ",0.12
Rowan University,2003,7258," $55,146 ",0.13
Rowan University,2004,7970," $55,146 ",0.14
Rowan University,2005,8607," $74,764 ",0.12
Rowan University,2006,9330," $75,701 ",0.12
Rowan University,2007,10068," $76,542 ",0.13
Rowan University,2008,10908," $77,387 ",0.14
Rowan University,2009,11234," $75,410 ",0.15
Rowan University,2010,11676," $73,492 ",0.16
Rowan University,2011,12019," $71,011 ",0.17
Rowan University,2012,12380," $71,836 ",0.17
Rowan University,2013,12380," $71,313 ",0.17
Rowan University,2014,12616," $71,919 ",0.18
Rowan University,2015,12864," $72,222 ",0.18
Rowan University,2016,13108," $76,126 ",0.17
Rowan University,2017,13422," $80,088 ",0.17
Rowan University,2018,13697," $80,088 ",0.17
Rowan University,2019,13933," $80,088 ",0.17
Rowan University,2020,14463," $81,690 ",0.18
Rowan University,2021,15014," $83,324 ",0.18
Rowan University,2022,15586," $84,990 ",0.18
Rowan University,2023,16179," $86,690 ",0.19
Rowan University,2024,16795," $88,424 ",0.19
Rowan University,2025,17434," $90,192 ",0.19
Rowan University,2026,18098," $91,996 ",0.2
Rowan University,2027,18787," $93,836 ",0.2
Rowan University,2028,19502," $95,713 ",0.2
Rowan University,2029,20244," $97,627 ",0.21
Rowan University,2030,21015," $99,579 ",0.21
Rowan University,2031,21815," $101,571 ",0.21
Rowan University,2032,22645," $103,602 ",0.22
Rowan University,2033,23508," $105,674 ",0.22
Rowan University,2034,24402," $107,788 ",0.23
Rowan University,2035,25331," $109,944 ",0.23
Rowan University,2036,26296," $112,143 ",0.23
Rowan University,2037,27297," $114,385 ",0.24
WIlliam Paterson University of New Jersey,1991,2515, na ,na
WIlliam Paterson University of New Jersey,1992,2791, na ,na
WIlliam Paterson University of New Jersey,1993,2887, na ,na
WIlliam Paterson University of New Jersey,1994,3000," $40,927 ",0.07
WIlliam Paterson University of New Jersey,1995,3220," $40,927 ",0.08
WIlliam Paterson University of New Jersey,1996,3380," $40,927 ",0.08
WIlliam Paterson University of New Jersey,1997,3786," $40,927 ",0.09
WIlliam Paterson University of New Jersey,1998,4150," $40,927 ",0.1
WIlliam Paterson University of New Jersey,1999,4690," $40,927 ",0.11
WIlliam Paterson University of New Jersey,2000,5150," $40,927 ",0.13
WIlliam Paterson University of New Jersey,2001,5702," $40,927 ",0.14
WIlliam Paterson University of New Jersey,2002,6400," $55,146 ",0.12
WIlliam Paterson University of New Jersey,2003,7120," $55,146 ",0.13
WIlliam Paterson University of New Jersey,2004,7952," $55,146 ",0.14
WIlliam Paterson University of New Jersey,2005,8740," $74,764 ",0.12
WIlliam Paterson University of New Jersey,2006,9422," $75,701 ",0.12
WIlliam Paterson University of New Jersey,2007,9996," $76,542 ",0.13
WIlliam Paterson University of New Jersey,2008,10492," $77,387 ",0.14
WIlliam Paterson University of New Jersey,2009,10937," $75,410 ",0.15
WIlliam Paterson University of New Jersey,2010,11238," $73,492 ",0.15
WIlliam Paterson University of New Jersey,2011,11464," $71,011 ",0.16
WIlliam Paterson University of New Jersey,2012,11694," $71,836 ",0.16
WIlliam Paterson University of New Jersey,2013,11918," $71,313 ",0.17
WIlliam Paterson University of New Jersey,2014,12244," $71,919 ",0.17
WIlliam Paterson University of New Jersey,2015,12365," $72,222 ",0.17
WIlliam Paterson University of New Jersey,2016,12574," $76,126 ",0.17
WIlliam Paterson University of New Jersey,2017,12804," $80,088 ",0.16
WIlliam Paterson University of New Jersey,2018,14974," $80,088 ",0.19
WIlliam Paterson University of New Jersey,2019,13220," $80,088 ",0.17
WIlliam Paterson University of New Jersey,2020,13650," $81,690 ",0.17
WIlliam Paterson University of New Jersey,2021,14094," $83,324 ",0.17
WIlliam Paterson University of New Jersey,2022,14553," $84,990 ",0.17
WIlliam Paterson University of New Jersey,2023,15026," $86,690 ",0.17
WIlliam Paterson University of New Jersey,2024,15515," $88,424 ",0.18
WIlliam Paterson University of New Jersey,2025,16019," $90,192 ",0.18
WIlliam Paterson University of New Jersey,2026,16540," $91,996 ",0.18
WIlliam Paterson University of New Jersey,2027,17078," $93,836 ",0.18
WIlliam Paterson University of New Jersey,2028,17634," $95,713 ",0.18
WIlliam Paterson University of New Jersey,2029,18207," $97,627 ",0.19
WIlliam Paterson University of New Jersey,2030,18799," $99,579 ",0.19
WIlliam Paterson University of New Jersey,2031,19411," $101,571 ",0.19
WIlliam Paterson University of New Jersey,2032,20042," $103,602 ",0.19
WIlliam Paterson University of New Jersey,2033,20694," $105,674 ",0.2
WIlliam Paterson University of New Jersey,2034,21367," $107,788 ",0.2
WIlliam Paterson University of New Jersey,2035,22062," $109,944 ",0.2
WIlliam Paterson University of New Jersey,2036,22779," $112,143 ",0.2
WIlliam Paterson University of New Jersey,2037,23520," $114,385 ",0.21
ALL PUBLIC SENIORS AVERAGE,1991,2915, na ,na
ALL PUBLIC SENIORS AVERAGE,1992,3158, na ,na
ALL PUBLIC SENIORS AVERAGE,1993,3287, na ,na
ALL PUBLIC SENIORS AVERAGE,1994,3479," $40,927 ",0.09
ALL PUBLIC SENIORS AVERAGE,1995,3682," $40,927 ",0.09
ALL PUBLIC SENIORS AVERAGE,1996,3970," $40,927 ",0.1
ALL PUBLIC SENIORS AVERAGE,1997,4314," $40,927 ",0.11
ALL PUBLIC SENIORS AVERAGE,1998,4678," $40,927 ",0.11
ALL PUBLIC SENIORS AVERAGE,1999,5009," $40,927 ",0.12
ALL PUBLIC SENIORS AVERAGE,2000,5361," $40,927 ",0.13
ALL PUBLIC SENIORS AVERAGE,2001,5860," $40,927 ",0.14
ALL PUBLIC SENIORS AVERAGE,2002,6528," $55,146 ",0.12
ALL PUBLIC SENIORS AVERAGE,2003,7193," $55,146 ",0.13
ALL PUBLIC SENIORS AVERAGE,2004,7879," $55,146 ",0.14
ALL PUBLIC SENIORS AVERAGE,2005,8506," $74,764 ",0.11
ALL PUBLIC SENIORS AVERAGE,2006,9230," $75,701 ",0.12
ALL PUBLIC SENIORS AVERAGE,2007,9863," $76,542 ",0.13
ALL PUBLIC SENIORS AVERAGE,2008,10634," $77,387 ",0.14
ALL PUBLIC SENIORS AVERAGE,2009,11023," $75,410 ",0.15
ALL PUBLIC SENIORS AVERAGE,2010,11469," $73,492 ",0.16
ALL PUBLIC SENIORS AVERAGE,2011,12077," $71,011 ",0.17
ALL PUBLIC SENIORS AVERAGE,2012,12481," $71,836 ",0.17
ALL PUBLIC SENIORS AVERAGE,2013,12634," $71,313 ",0.18
ALL PUBLIC SENIORS AVERAGE,2014,12894," $71,919 ",0.18
ALL PUBLIC SENIORS AVERAGE,2015,13198," $72,222 ",0.18
ALL PUBLIC SENIORS AVERAGE,2016,13464," $76,126 ",0.18
ALL PUBLIC SENIORS AVERAGE,2017,13772," $80,088 ",0.17
ALL PUBLIC SENIORS AVERAGE,2018,14092," $80,088 ",0.18
ALL PUBLIC SENIORS AVERAGE,2019,14340," $80,088 ",0.18
ALL PUBLIC SENIORS AVERAGE,2020,14931," $81,690 ",0.18
ALL PUBLIC SENIORS AVERAGE,2021,15547," $83,324 ",0.19
ALL PUBLIC SENIORS AVERAGE,2022,16188," $84,990 ",0.19
ALL PUBLIC SENIORS AVERAGE,2023,16855," $86,690 ",0.19
ALL PUBLIC SENIORS AVERAGE,2024,17550," $88,424 ",0.2
ALL PUBLIC SENIORS AVERAGE,2025,18274," $90,192 ",0.2
ALL PUBLIC SENIORS AVERAGE,2026,19028," $91,996 ",0.21
ALL PUBLIC SENIORS AVERAGE,2027,19812," $93,836 ",0.21
ALL PUBLIC SENIORS AVERAGE,2028,20629," $95,713 ",0.22
ALL PUBLIC SENIORS AVERAGE,2029,21480," $97,627 ",0.22
ALL PUBLIC SENIORS AVERAGE,2030,22366," $99,579 ",0.22
ALL PUBLIC SENIORS AVERAGE,2031,23288," $101,571 ",0.23
ALL PUBLIC SENIORS AVERAGE,2032,24248," $103,602 ",0.23
ALL PUBLIC SENIORS AVERAGE,2033,25248," $105,674 ",0.24
ALL PUBLIC SENIORS AVERAGE,2034,26289," $107,788 ",0.24
ALL PUBLIC SENIORS AVERAGE,2035,27373," $109,944 ",0.25
ALL PUBLIC SENIORS AVERAGE,2036,28502," $112,143 ",0.25
ALL PUBLIC SENIORS AVERAGE,2037,29677," $114,385 ",0.26
Bloomfield College,1991,7450, na ,na
Bloomfield College,1992,7750, na ,na
